sys_id,sys_code,main_id,ids,otype_txt,otype_shortname,otype_longname,otypes,Average of ra,Average of dec,Average of dist
11,EPSERI,* eps Eri                   ,"GES J03325495-0927294|8pc 310.75|PLX  742|2MASS J03325591-0927298|* eps Eri|*  18 Eri|1AXG J033256-0926|2E   788|2RE J033253-092646|2RE J0332-092|BD-09   697|CCDM J03329-0927A|Ci 20  241|FK5  127|GC  4244|GCRV  1962|GEN# +1.00022049|GJ   144.0|GJ   144|HD  22049|HIC  16537|HIP  16537|HR  1084|IRAS 03305-0937|IRC -10048|JP11   792|LFT  291|LHS  1557|LPM 158|LTT  1675|N30  726|NLTT 11207|PM 03306-0938|PMC 90-93    91|PPM 185905|RAFGL  497|RBS   439|RE J0332-092|RE J033255-092717|ROT   531|SACS  76|SAO 130564|SKY#  5366|SPOCS  171|TD1  2301|TYC 5296-1533-1|UBV    3410|UBV M   9580|V* eps Eri|YZ   0  4513|YZ  99   836|Zkh  51|[FS2003] 0134|uvby98 100022049|PLX  742.00|1E 0330.5-0937|1RXS J033256.4-092727|2E 0330.5-0937|2EUVE J0332-09.4|EUVE J0332-09.4|RX J0332.9-0927|WDS J03329-0927A|WDS J03329-0927Aa,Ab|** BLA    2|Gaia DR2 5164707970261630080|** MBA    1A|NAME Ran|WEB  3160                                                                                                                                                            ",BY*    ,BY*          ,Variable of BY Dra type        ,V* |** |UV |X  |BY*|IR |PM*|*  |Ro*|*  |X                                              ,53.23268735,-9.458258657,3.2028
12,,HD 217987                   ,GC 32159|UGP 591|2MASS J23055131-3551130|PLX 5584|AC2000 3355101|CD-36 15693|CPC 18 11792|CPD-36  9694|CSV   8819|Ci 20 1400|GCRV 14482|GEN# +1.00217987|GJ   887|HD 217987|HIC 114046|HIP 114046|IRAS 23029-3607|JP11  3579|LFT 1758|LHS    70|LPM 849|LTT  9348|NAME Lacaille 9352|NLTT 55782|NSV 14420|SAO 214301|SKY# 43837|UBV   19770|UBV M  26806|Zkh 347|[RHG95]  3630|PLX 5584.00|ASAS J230552-3551.2|WISEA J230557.86-355057.2|uvby98 100217987|WEB 20248|Gaia DR2 6553614253923452800                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,PM*    ,PM*          ,High proper-motion Star        ,PM*|V* |IR |*  |PM*                                                                    ,346.4668144,-35.85307188,3.2871
13,,Ross  128                   ,PLX 2730|LSPM J1147+0048|ASCC 1136005|UCAC2  32039206|USNO-B1.0 0908-00204201|2E  2532|8pc 299.58|CSI+01-11451|Ci 20  662|G  10-50|G  11-22|GAT 1132|GCRV  7139|GEN# +6.10010447|GJ   447|GSC 00272-00665|HIC  57548|HIP  57548|IRAS 11451+0105|JP11  5144|JP11  5186|JP11  5145|LFT  852|LHS   315|LTT 13240|MCC 286|NLTT 28570|PM 11452+0106|Ross  128|UBV M  42951|USNO 615|USNO 840|V* FI Vir|VVO 214|Zkh 169|[GKL99] 248|[RHG95]  1849|2MASS J11474440+0048164|PLX 2730.00|1RXS J114744.7+004831|2E 1145.1+0105|RX J1147.7+0048|TYC  272-1051-1|GSC 00272-01051|[ZEH2003] RX J1147.7+0048  1|GAT 1131|Gaia DR2 3796072592206250624|WISEA J114744.81+004803.7|UCAC4 455-052049|PM J11477+0048|EPIC 201518346|Gaia DR1 3796072587910775936|GALEX 3196326618938216349|WEB 10335                                                                                                                                                                                                                                                                                               ,Fl*    ,Fl*          ,Flare Star                     ,Fl*|V* |IR |X  |PM*|*  |Fl*|PM*|*  |PM*|*  |UV |UV                                     ,176.9349869,0.804556925,3.3674
14,,BD+05  1668                 ,Karmn J07274+052|Gaia DR2 3139847906304421632|PLX 1755|LSPM J0727+0513|ASCC 1029189|UCAC2  33555673|USNO-B1.0 0952-00140898|8pc 263.26|AC2000  282902|BD+05  1668|G 112-17|G  89-19|GAT 1092|GCRV  4954|GEN# +0.00501668|GJ   273|GSC 00173-01124|HIC  36208|HIP  36208|IRAS 07247+0520|JP11    25|LFT  527|LHS    33|LTT 12021|MCC  17|NAME Luyten's star|NLTT 17881|PM 07247+0522|RAFGL  273|TYC  173-3208-1|UBV    7206|UBV M    272|VVO 207|Zkh 102|[HFE83]  515|[JHC84]  57|[RHG95]  1168|2MASS J07272450+0513329|PLX 1755.00|PM J07274+0513|WEB  7213                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,PM*    ,PM*          ,High proper-motion Star        ,IR |*  |PM*|PM*|*                                                                      ,111.8520823,5.225786987,3.4
15,,V* EZ Aqr                   ,UCAC4 374-178693|Gaia DR2 2596740426912781696|PLX 5475|1RXS J223832.0-151809|2E  4631|2MASS J22383372-1517573|CSI-15-22358|G 156-31|GCRV 14217|GEN# +6.10010866|GJ   866|GJ   866 A|GSC 06386-00505|JP11  5181|JP11  5180|JP11  5195|L  789-6|LFT 1729|LHS    68|LP  820-64|LPM 837|LTT  9122|NLTT 54407|UBV   19358|V* EZ Aqr|Zkh 333|[GKL99] 430|[RHG95]  3561|PLX 5475.00|1E 2235.8-1534|2E 2235.8-1534|WDS J22385-1519AB|UCAC2  26361351|GJ   866 C|GJ   866 B|8pc 289.50|** BLA   10|PMSC 22329-1552|PM 22358-1535|WISEA J223835.27-151735.3|GCRV 26202|GALEX 6376474988285791335|WEB 19966                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ,BY*    ,BY*          ,Variable of BY Dra type        ,Fl*|V* |IR |X  |Fl*|PM*|** |PM*|*  |** |BY*|UV |UV                                     ,339.6399,-15.2999325,3.4
16,,*  61 Cyg A                 ,Karmn J21068+387|PPM  86045|PLX 5077|LSPM J2106+3844N|ASCC  531487|2MASS J21065341+3844529|USNO-B1.0 1287-00443357|*  61 Cyg A|2RE J210651+384359|2RE J2106+384|8pc 287.13A|ADS 14636 A|AG+38 2138|BD+38  4343|CCDM J21069+3844A|CSI+38  4343  1|Ci 20 1259|GC 29509|GCRV 13272|GEN# +1.00201091A|GJ   820 A|HD 201091|HIC 104214|HIP 104214|HR  8085|IRC +40469|JP11  3309|LFT 1604|LHS    62|LTT 16179|NLTT 50559|NSV 13543|ROT  3077|SAO  70919|SKY# 40143|UBV   18285|USNO 900|V* V1803 Cyg|Zkh 315|[B10]  5433|[GKL99] 398|[RHG95]  3300|1E 2104.8+3831|2EUVE J2106+38.7|EUVE J2106+38.7|RX J2106.8+3844|WDS J21069+3845A|TYC 3168-2800-1|WEB 18980|Gaia DR2 1872046574983507456                                                                                                                                                                                                                                                                                                                                                                                           ,BY*    ,BY*          ,Variable of BY Dra type        ,PM*|Fl*|V* |** |UV |X  |BY*|PM*|IR |Ro*|*  |X                                          ,316.7247484,38.74941584,3.4896
17,,*  61 Cyg B                 ,Karmn J21069+387|ASCC  531491|2MASS J21065473+3844265|USNO-B1.0 1287-00443364|*  61 Cyg B|8pc 285.42B|AC2000 1382649|ADS 14636 B|AG+38 2136|BD+38  4344|CCDM J21069+3844B|Ci 20 1260|GCRV 13273|GEN# +1.00201092|GJ   820 B|GSC 03168-02798|HD 201092|HIC 104217|HIP 104217|HR  8086|JP11  3313|LFT 1605|LHS    63|LTT 16180|NLTT 50560|NSV 13546|PPM  86049|ROT  3078|SKY# 40146|TYC 3168-2798-1|UBV M  25458|UBV   18286|USNO 901|Zkh 316|[B10]  5434|[GKL99] 399|[RHG95]  3301|uvby98 100201092|LSPM J2106+3844S|WDS J21069+3845B|WEB 18981|Gaia DR2 1872046574983497216                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ,Fl*    ,Fl*          ,Flare Star                     ,PM*|V* |** |*  |Fl*|PM*|IR |Ro*|X  |X                                                  ,316.7302669,38.74204504,3.49885
18,,* alf CMi B                 ,* alf CMi B|8pc 285.93B|ADS  6251 B|BD+05  1739B|CCDM J07393+0514B|CSI+05  1739  2|EGGR  53|GJ   280 B|IDS 07341+0529 B|NAME Procyon B|UBV    7350|WD 0736+05|WD 0736+053|WD 0736+052|Zkh 107|WDS J07393+0514B|2XMMi J073917.7+051324|2RXP J073918.2+051334|** SHB    1B                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ,WD*    ,WD*          ,White Dwarf                    ,WD*|** |*  |X  |V*                                                                     ,114.8245,5.2241111,3.5
19,,HD 173739                   ,Karmn J18427+596N|PLX 4330|LSPM J1842+5937N|ASCC  201775|USNO-B1.0 1496-00255595|8pc 280.28A|ADS 11632 A|AG+59 1185|BD+59  1915A|CCDM J18428+5937A|CSI+59  1915  1|Ci 20 1105|Ci 18 2456|DO 36465|G 227-46|G 229-13|GC 25648|GCRV 11183|GEN# +1.00173739A|GJ   725 A|HD 173739|HIC  91768|HIP  91768|JP11  3019|LFT 1431|LHS    58|LTT 15522|NLTT 46947|NSV 11288|PPM  36785|SAO  31128|UBV   15969|UBV M  23214|YZ  59  9945|Zkh 280|[RHG95]  2945|2MASS J18424666+5937499|WDS J18428+5938A|TYC 3930-1791-1|** STF 2398A|** LDS 1466A|WISE J184244.93+593807.9|WISEA J184244.96+593805.4|PM J18427+5937N|UCAC4 749-054798|Gaia DR1 2154877657540108928|WEB 15792|Gaia DR2 2154880616773521408                                                                                                                                                                                                                                                                                                                                                                                  ,PM*    ,PM*          ,High proper-motion Star        ,V* |*  |PM*|IR |PM*|PM*|*                                                              ,280.6946036,59.63039216,3.5218
20,,HD 173740                   ,Karmn J18427+596S|ASCC  201777|USNO-B1.0 1496-00255603|8pc 284.48B|ADS 11632 B|AG+59 1186|BD+59  1915B|CCDM J18428+5937B|CSI+59  1915  2|Ci 20 1106|G 227-47|G 229-14|GC 25649|GCRV 11184|GJ   725 B|HD 173740|HIC  91772|HIP  91772|IDS 18415+5931 B|JP11  3021|LFT 1432|LHS    59|LTT 15523|NLTT 46948|PPM  36786|SAO  31129|UBV   15970|UBV M  23216|YZ  59  9947|Zkh 281|[RHG95]  2946|2MASS J18424688+5937374|LSPM J1842+5937S|WDS J18428+5938B|TYC 3930-1791-2|** LDS 1466B|** STF 2398B|WISE J184245.01+593755.9|UCAC4 749-054799|PM J18427+5937S|Gaia DR1 2154877657540105216|WEB 15793|Gaia DR2 2154880616772528384                                                                                                                                                                                                                                                                                                                                                                                                                                                    ,PM*    ,PM*          ,High proper-motion Star        ,PM*|*  |IR |PM*|*                                                                      ,280.6953926,59.62686753,3.5228
